Draw Date,Multiplier,Winning Numbers,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6
7/31/2021,2,01 21 22 34 47 04,1,21,22,34,47,4
7/28/2021,3,25 30 53 59 60 05,25,30,53,59,60,5
7/24/2021,2,01 04 11 59 67 10,1,4,11,59,67,10
7/21/2021,2,27 28 44 67 68 11,27,28,44,67,68,11
7/17/2021,2,15 22 38 54 66 03,15,22,38,54,66,3
7/14/2021,2,33 46 52 59 62 10,33,46,52,59,62,10
7/10/2021,2,01 05 29 54 62 03,1,5,29,54,62,3
7/7/2021,2,08 21 30 49 57 08,8,21,30,49,57,8
7/3/2021,2,26 40 41 55 65 24,26,40,41,55,65,24
6/30/2021,4,24 29 50 65 66 14,24,29,50,65,66,14
6/26/2021,3,08 31 39 43 60 17,8,31,39,43,60,17
6/23/2021,3,13 20 40 51 63 01,13,20,40,51,63,1
6/19/2021,2,04 22 35 38 39 20,4,22,35,38,39,20
6/16/2021,2,19 29 34 44 50 25,19,29,34,44,50,25
6/12/2021,3,08 25 34 38 41 10,8,25,34,38,41,10
6/9/2021,2,19 28 46 50 54 09,19,28,46,50,54,9
6/5/2021,3,44 52 54 64 69 26,44,52,54,64,69,26
6/2/2021,3,06 07 11 66 67 19,6,7,11,66,67,19
5/29/2021,2,11 13 22 27 46 20,11,13,22,27,46,20
5/26/2021,2,02 08 21 34 62 16,2,8,21,34,62,16
5/22/2021,2,03 19 27 37 40 08,3,19,27,37,40,8
5/19/2021,2,11 13 55 56 69 04,11,13,55,56,69,4
5/15/2021,3,04 10 37 39 69 24,4,10,37,39,69,24
5/12/2021,2,01 19 20 38 54 17,1,19,20,38,54,17
5/8/2021,3,12 17 20 21 26 08,12,17,20,21,26,8
5/5/2021,2,16 23 28 40 63 01,16,23,28,40,63,1
5/1/2021,3,35 36 47 61 63 03,35,36,47,61,63,3
4/24/2021,3,22 36 48 59 61 22,22,36,48,59,61,22
4/21/2021,2,21 25 32 63 67 06,21,25,32,63,67,6
4/17/2021,2,10 21 26 41 49 25,10,21,26,41,49,25
4/14/2021,2,13 30 33 45 61 14,13,30,33,45,61,14
4/10/2021,3,14 16 23 50 53 03,14,16,23,50,53,3
4/7/2021,5,27 35 39 51 66 16,27,35,39,51,66,16
4/3/2021,2,01 12 17 39 53 05,1,12,17,39,53,5
3/31/2021,2,03 10 44 55 68 24,3,10,44,55,68,24
3/27/2021,3,06 14 38 39 65 06,6,14,38,39,65,6
3/24/2021,2,04 09 17 27 38 18,4,9,17,27,38,18
3/20/2021,3,01 06 22 42 61 04,1,6,22,42,61,4
3/17/2021,2,34 38 42 61 62 19,34,38,42,61,62,19
3/13/2021,2,05 11 51 56 61 02,5,11,51,56,61,2
3/10/2021,3,17 18 37 44 53 18,17,18,37,44,53,18
3/6/2021,4,11 31 50 52 58 18,11,31,50,52,58,18
3/3/2021,3,21 40 44 50 55 16,21,40,44,50,55,16
2/27/2021,3,02 28 31 44 52 18,2,28,31,44,52,18
2/24/2021,3,04 33 43 53 65 21,4,33,43,53,65,21
2/20/2021,10,04 08 22 32 58 04,4,8,22,32,58,4
2/17/2021,3,01 15 21 32 46 01,1,15,21,32,46,1
2/13/2021,2,20 28 33 63 68 20,20,28,33,63,68,20
2/10/2021,2,15 39 58 63 67 07,15,39,58,63,67,7
2/6/2021,2,01 16 48 49 65 08,1,16,48,49,65,8
2/3/2021,3,05 37 40 64 66 05,5,37,40,64,66,5
1/30/2021,3,01 02 07 52 61 04,1,2,7,52,61,4
1/27/2021,3,17 33 35 42 52 09,17,33,35,42,52,9
1/23/2021,3,05 08 17 27 28 14,5,8,17,27,28,14
1/20/2021,3,40 53 60 68 69 22,40,53,60,68,69,22
1/16/2021,3,14 20 39 65 67 02,14,20,39,65,67,2
1/13/2021,2,04 19 23 25 49 14,4,19,23,25,49,14
1/9/2021,2,14 26 38 45 46 13,14,26,38,45,46,13
1/6/2021,3,01 20 22 60 66 03,1,20,22,60,66,3
1/2/2021,2,03 04 11 41 67 05,3,4,11,41,67,5
12/30/2020,2,03 43 45 61 65 14,3,43,45,61,65,14
12/26/2020,2,10 24 27 35 53 18,10,24,27,35,53,18
12/23/2020,3,06 13 38 39 53 06,6,13,38,39,53,6
12/19/2020,2,27 32 34 43 52 13,27,32,34,43,52,13
12/16/2020,2,04 23 37 61 67 07,4,23,37,61,67,7
12/12/2020,2,17 54 56 63 69 20,17,54,56,63,69,20
12/9/2020,3,11 14 31 47 48 04,11,14,31,47,48,4
12/5/2020,2,03 04 06 48 53 10,3,4,6,48,53,10
12/2/2020,3,28 31 40 41 46 04,28,31,40,41,46,4
11/28/2020,2,08 12 18 44 51 18,8,12,18,44,51,18
11/25/2020,2,02 57 58 60 65 26,2,57,58,60,65,26
11/21/2020,2,51 54 57 60 69 11,51,54,57,60,69,11
11/18/2020,2,04 05 17 43 52 05,4,5,17,43,52,5
11/14/2020,2,07 15 18 32 45 20,7,15,18,32,45,20
11/11/2020,2,13 15 17 45 63 13,13,15,17,45,63,13
11/7/2020,2,14 16 37 48 58 18,14,16,37,48,58,18
11/4/2020,2,23 32 33 45 49 14,23,32,33,45,49,14
10/31/2020,3,02 06 40 42 55 24,2,6,40,42,55,24
10/28/2020,2,11 28 37 40 53 13,11,28,37,40,53,13
10/24/2020,2,18 20 27 45 65 06,18,20,27,45,65,6
10/21/2020,3,01 03 13 44 56 26,1,3,13,44,56,26
10/17/2020,2,06 10 31 37 44 23,6,10,31,37,44,23
10/14/2020,2,21 37 52 53 58 05,21,37,52,53,58,5
10/10/2020,3,05 18 23 40 50 18,5,18,23,40,50,18
10/7/2020,2,06 24 30 53 56 19,6,24,30,53,56,19
10/3/2020,2,18 31 36 43 47 20,18,31,36,43,47,20
9/30/2020,2,14 18 36 49 67 18,14,18,36,49,67,18
9/26/2020,3,11 21 27 36 62 24,11,21,27,36,62,24
9/23/2020,2,08 17 49 52 59 01,8,17,49,52,59,1
9/19/2020,4,11 14 23 47 57 14,11,14,23,47,57,14
9/16/2020,2,10 17 31 51 53 01,10,17,31,51,53,1
9/12/2020,2,16 17 20 53 67 04,16,17,20,53,67,4
9/9/2020,3,27 52 55 60 64 21,27,52,55,60,64,21
9/5/2020,2,15 21 22 27 47 07,15,21,22,27,47,7
9/2/2020,2,01 04 11 20 69 18,1,4,11,20,69,18
8/29/2020,2,05 21 22 29 43 10,5,21,22,29,43,10
8/26/2020,2,08 12 19 47 58 02,8,12,19,47,58,2
8/22/2020,3,19 30 36 42 66 14,19,30,36,42,66,14
8/19/2020,10,13 23 47 55 58 23,13,23,47,55,58,23
8/15/2020,3,05 12 34 45 56 03,5,12,34,45,56,3
8/12/2020,2,02 06 18 36 37 21,2,6,18,36,37,21
8/8/2020,3,02 03 14 40 51 24,2,3,14,40,51,24
8/5/2020,5,07 14 17 57 65 24,7,14,17,57,65,24
8/1/2020,3,06 25 36 43 48 24,6,25,36,43,48,24
7/29/2020,2,07 29 35 40 45 26,7,29,35,40,45,26
7/25/2020,2,05 21 36 61 62 18,5,21,36,61,62,18
7/22/2020,3,16 25 36 44 55 14,16,25,36,44,55,14
7/18/2020,2,13 16 32 58 59 09,13,16,32,58,59,9
7/15/2020,10,27 47 61 62 69 04,27,47,61,62,69,4
7/11/2020,2,14 19 61 62 64 04,14,19,61,62,64,4
7/8/2020,10,03 10 34 36 62 05,3,10,34,36,62,5
7/4/2020,2,16 21 27 60 61 06,16,21,27,60,61,6
7/1/2020,4,15 28 52 53 63 18,15,28,52,53,63,18
6/27/2020,2,09 36 49 56 62 08,9,36,49,56,62,8
6/24/2020,3,15 22 27 33 46 23,15,22,27,33,46,23
6/20/2020,3,10 31 41 63 67 05,10,31,41,63,67,5
6/17/2020,3,07 10 63 64 68 10,7,10,63,64,68,10
6/13/2020,3,02 12 32 50 65 05,2,12,32,50,65,5
6/10/2020,5,10 33 41 52 54 18,10,33,41,52,54,18
6/6/2020,2,01 17 38 68 69 18,1,17,38,68,69,18
6/3/2020,2,01 03 26 41 64 17,1,3,26,41,64,17
5/30/2020,2,13 32 41 58 60 14,13,32,41,58,60,14
5/27/2020,3,38 58 59 64 68 21,38,58,59,64,68,21
5/23/2020,4,02 08 18 21 23 16,2,8,18,21,23,16
5/20/2020,2,18 34 40 42 50 09,18,34,40,42,50,9
5/16/2020,2,08 12 26 39 42 11,8,12,26,39,42,11
5/13/2020,3,39 53 54 56 57 20,39,53,54,56,57,20
5/9/2020,5,12 18 42 48 65 19,12,18,42,48,65,19
5/6/2020,4,07 08 35 50 65 20,7,8,35,50,65,20
5/2/2020,5,13 16 33 58 68 24,13,16,33,58,68,24
4/29/2020,2,02 20 49 61 67 20,2,20,49,61,67,20
4/25/2020,2,01 03 21 47 57 18,1,3,21,47,57,18
4/22/2020,5,01 33 35 40 69 24,1,33,35,40,69,24
4/18/2020,2,04 44 46 56 63 19,4,44,46,56,63,19
4/15/2020,3,10 12 33 36 41 02,10,12,33,36,41,2
4/11/2020,3,22 29 30 42 47 17,22,29,30,42,47,17
4/8/2020,3,02 37 39 48 54 05,2,37,39,48,54,5
4/4/2020,3,08 31 39 40 43 04,8,31,39,40,43,4
4/1/2020,2,33 35 45 48 60 16,33,35,45,48,60,16
3/28/2020,2,07 40 48 55 66 11,7,40,48,55,66,11
3/25/2020,2,05 09 27 39 42 16,5,9,27,39,42,16
3/21/2020,2,02 23 40 59 69 13,2,23,40,59,69,13
3/18/2020,4,15 27 44 59 63 08,15,27,44,59,63,8
3/14/2020,3,09 23 26 30 32 08,9,23,26,30,32,8
3/11/2020,4,04 29 49 50 67 02,4,29,49,50,67,2
3/7/2020,2,07 15 21 33 62 23,7,15,21,33,62,23
3/4/2020,2,18 43 58 60 68 14,18,43,58,60,68,14
2/29/2020,3,24 44 46 50 51 13,24,44,46,50,51,13
2/26/2020,3,08 27 29 36 47 24,8,27,29,36,47,24
2/22/2020,3,25 37 39 61 62 11,25,37,39,61,62,11
2/19/2020,2,10 12 15 19 56 19,10,12,15,19,56,19
2/15/2020,3,16 32 35 36 46 03,16,32,35,36,46,3
2/12/2020,2,14 47 54 55 68 25,14,47,54,55,68,25
2/8/2020,2,35 49 50 59 66 06,35,49,50,59,66,6
2/5/2020,3,23 30 35 41 57 02,23,30,35,41,57,2
2/1/2020,4,12 33 54 57 60 13,12,33,54,57,60,13
1/29/2020,2,09 12 15 31 60 02,9,12,15,31,60,2
1/25/2020,2,02 09 17 36 67 18,2,9,17,36,67,18
1/22/2020,3,11 33 44 59 67 08,11,33,44,59,67,8
1/18/2020,2,20 24 38 56 68 18,20,24,38,56,68,18
1/15/2020,2,39 41 53 55 68 19,39,41,53,55,68,19
1/11/2020,2,03 21 23 31 59 03,3,21,23,31,59,3
1/8/2020,4,02 04 07 43 56 22,2,4,7,43,56,22
1/4/2020,2,01 11 21 25 54 07,1,11,21,25,54,7
1/1/2020,2,49 53 57 59 62 26,49,53,57,59,62,26
12/28/2019,2,20 23 39 59 60 18,20,23,39,59,60,18
12/25/2019,2,02 04 16 30 46 20,2,4,16,30,46,20
12/21/2019,2,19 31 35 50 67 14,19,31,35,50,67,14
12/18/2019,2,14 18 26 39 68 09,14,18,26,39,68,9
12/14/2019,3,03 06 12 32 64 19,3,6,12,32,64,19
12/11/2019,4,24 29 42 44 63 10,24,29,42,44,63,10
12/7/2019,3,18 42 53 62 66 25,18,42,53,62,66,25
12/4/2019,3,08 27 44 51 61 14,8,27,44,51,61,14
11/30/2019,4,15 35 42 63 68 18,15,35,42,63,68,18
11/27/2019,2,15 26 37 53 55 21,15,26,37,53,55,21
11/23/2019,3,28 35 38 61 66 23,28,35,38,61,66,23
11/20/2019,2,07 15 39 40 57 12,7,15,39,40,57,12
11/16/2019,3,14 22 26 55 63 26,14,22,26,55,63,26
11/13/2019,2,23 26 27 28 66 11,23,26,27,28,66,11
11/9/2019,2,14 17 35 38 60 25,14,17,35,38,60,25
11/6/2019,3,15 28 46 62 64 17,15,28,46,62,64,17
11/2/2019,2,03 23 32 37 58 22,3,23,32,37,58,22
10/30/2019,2,19 22 52 56 67 21,19,22,52,56,67,21
10/26/2019,4,03 20 48 54 59 04,3,20,48,54,59,4
10/23/2019,2,05 12 50 61 69 23,5,12,50,61,69,23
10/19/2019,2,14 27 29 59 65 12,14,27,29,59,65,12
10/16/2019,2,01 05 25 63 67 03,1,5,25,63,67,3
10/12/2019,2,12 29 34 53 65 23,12,29,34,53,65,23
10/9/2019,2,05 18 33 43 65 02,5,18,33,43,65,2
10/5/2019,2,06 14 36 51 54 04,6,14,36,51,54,4
10/2/2019,2,04 08 10 43 53 07,4,8,10,43,53,7
9/28/2019,2,15 23 34 51 55 04,15,23,34,51,55,4
9/25/2019,3,37 43 44 45 53 25,37,43,44,45,53,25
9/21/2019,2,01 09 22 36 68 22,1,9,22,36,68,22
9/18/2019,3,14 19 39 47 51 15,14,19,39,47,51,15
9/14/2019,2,11 27 31 36 67 11,11,27,31,36,67,11
9/11/2019,3,06 17 24 53 57 03,6,17,24,53,57,3
9/7/2019,2,11 20 41 42 56 06,11,20,41,42,56,6
9/4/2019,10,04 08 30 52 59 02,4,8,30,52,59,2
8/31/2019,5,14 41 50 56 57 18,14,41,50,56,57,18
8/28/2019,10,09 32 37 41 56 14,9,32,37,41,56,14
8/24/2019,2,05 12 20 21 47 01,5,12,20,21,47,1
8/21/2019,2,12 21 22 29 32 21,12,21,22,29,32,21
8/17/2019,3,18 21 24 30 60 20,18,21,24,30,60,20
8/14/2019,2,10 13 30 51 69 10,10,13,30,51,69,10
8/10/2019,3,35 41 44 58 59 03,35,41,44,58,59,3
8/7/2019,3,08 32 47 53 59 03,8,32,47,53,59,3
8/3/2019,2,03 06 45 66 68 13,3,6,45,66,68,13
7/31/2019,2,14 37 47 55 67 06,14,37,47,55,67,6
7/27/2019,2,01 19 31 48 61 06,1,19,31,48,61,6
7/24/2019,2,22 29 35 53 56 13,22,29,35,53,56,13
7/20/2019,3,05 26 36 64 69 19,5,26,36,64,69,19
7/17/2019,2,19 43 47 60 68 10,19,43,47,60,68,10
7/13/2019,3,13 23 32 35 68 21,13,23,32,35,68,21
7/10/2019,3,07 09 26 44 68 03,7,9,26,44,68,3
7/6/2019,2,04 08 23 46 65 01,4,8,23,46,65,1
7/3/2019,3,40 43 45 50 61 25,40,43,45,50,61,25
6/29/2019,2,13 17 24 59 62 08,13,17,24,59,62,8
6/26/2019,3,01 05 16 22 54 24,1,5,16,22,54,24
6/22/2019,2,03 06 11 14 66 21,3,6,11,14,66,21
6/19/2019,3,04 18 21 26 38 01,4,18,21,26,38,1
6/15/2019,3,08 11 14 16 49 14,8,11,14,16,49,14
6/12/2019,2,05 35 38 42 57 13,5,35,38,42,57,13
6/8/2019,2,09 13 42 48 60 18,9,13,42,48,60,18
6/5/2019,3,17 23 28 34 38 08,17,23,28,34,38,8
6/1/2019,2,06 15 34 45 52 08,6,15,34,45,52,8
5/29/2019,2,03 32 34 42 61 07,3,32,34,42,61,7
5/25/2019,3,01 02 39 43 66 02,1,2,39,43,66,2
5/22/2019,2,07 10 20 44 57 03,7,10,20,44,57,3
5/18/2019,4,02 10 25 66 67 26,2,10,25,66,67,26
5/15/2019,2,07 17 33 61 68 04,7,17,33,61,68,4
5/11/2019,2,06 08 09 37 40 26,6,8,9,37,40,26
5/8/2019,3,01 45 53 64 66 03,1,45,53,64,66,3
5/4/2019,2,06 16 23 30 61 02,6,16,23,30,61,2
5/1/2019,5,05 23 28 56 66 17,5,23,28,56,66,17
4/27/2019,3,02 29 41 45 62 06,2,29,41,45,62,6
4/24/2019,5,06 32 35 36 65 04,6,32,35,36,65,4
4/20/2019,3,03 27 30 63 65 01,3,27,30,63,65,1
4/17/2019,3,01 15 17 46 66 15,1,15,17,46,66,15
4/13/2019,2,04 17 26 32 49 10,4,17,26,32,49,10
4/10/2019,4,12 21 23 39 67 06,12,21,23,39,67,6
4/6/2019,3,15 33 43 59 60 08,15,33,43,59,60,8
4/3/2019,2,16 19 25 32 49 18,16,19,25,32,49,18
3/30/2019,3,21 52 54 64 68 04,21,52,54,64,68,4
3/27/2019,3,16 20 37 44 62 12,16,20,37,44,62,12
3/23/2019,3,24 25 52 60 66 05,24,25,52,60,66,5
3/20/2019,2,10 14 50 53 63 21,10,14,50,53,63,21
3/16/2019,2,30 34 39 53 67 11,30,34,39,53,67,11
3/13/2019,3,18 36 45 47 69 14,18,36,45,47,69,14
3/9/2019,3,05 06 45 55 59 14,5,6,45,55,59,14
3/6/2019,2,06 10 21 35 46 23,6,10,21,35,46,23
3/2/2019,2,01 19 25 27 68 21,1,19,25,27,68,21
2/27/2019,5,21 31 42 49 59 23,21,31,42,49,59,23
2/23/2019,2,04 06 14 20 32 13,4,6,14,20,32,13
2/20/2019,2,27 49 50 51 52 02,27,49,50,51,52,2
2/16/2019,4,29 30 41 48 64 01,29,30,41,48,64,1
2/13/2019,2,02 08 14 24 69 26,2,8,14,24,69,26
2/9/2019,3,01 02 03 07 39 25,1,2,3,7,39,25
2/6/2019,5,05 13 28 38 63 21,5,13,28,38,63,21
2/2/2019,5,10 17 18 43 65 13,10,17,18,43,65,13
1/30/2019,2,02 12 16 29 54 06,2,12,16,29,54,6
1/26/2019,4,08 12 20 21 32 10,8,12,20,21,32,10
1/23/2019,3,23 25 47 48 50 24,23,25,47,48,50,24
1/19/2019,3,05 08 41 65 66 20,5,8,41,65,66,20
1/16/2019,2,14 29 31 56 61 01,14,29,31,56,61,1
1/12/2019,2,07 36 48 57 58 24,7,36,48,57,58,24
1/9/2019,3,06 19 37 49 59 22,6,19,37,49,59,22
1/5/2019,2,03 07 15 27 69 19,3,7,15,27,69,19
1/2/2019,2,08 12 42 46 56 12,8,12,42,46,56,12
12/29/2018,2,12 42 51 53 62 25,12,42,51,53,62,25
12/26/2018,2,05 25 38 52 67 24,5,25,38,52,67,24
12/22/2018,3,21 28 30 40 59 26,21,28,30,40,59,26
12/19/2018,2,15 29 31 37 43 16,15,29,31,37,43,16
12/15/2018,3,08 38 43 52 55 17,8,38,43,52,55,17
12/12/2018,2,04 09 21 29 64 26,4,9,21,29,64,26
12/8/2018,2,14 32 34 46 61 10,14,32,34,46,61,10
12/5/2018,5,09 11 36 37 38 11,9,11,36,37,38,11
12/1/2018,2,10 11 47 55 58 26,10,11,47,55,58,26
11/28/2018,2,04 19 59 68 69 21,4,19,59,68,69,21
11/24/2018,2,11 33 51 56 58 18,11,33,51,56,58,18
11/21/2018,2,07 14 23 38 55 18,7,14,23,38,55,18
11/17/2018,2,06 08 20 52 68 05,6,8,20,52,68,5
11/14/2018,5,07 42 49 62 69 23,7,42,49,62,69,23
11/10/2018,2,05 29 34 53 57 24,5,29,34,53,57,24
11/7/2018,2,26 28 34 42 50 25,26,28,34,42,50,25
11/3/2018,3,15 21 24 32 65 11,15,21,24,32,65,11
10/31/2018,3,07 25 39 40 47 20,7,25,39,40,47,20
10/27/2018,3,08 12 13 19 27 04,8,12,13,19,27,4
10/24/2018,2,03 21 45 53 56 22,3,21,45,53,56,22
10/20/2018,2,16 54 57 62 69 23,16,54,57,62,69,23
10/17/2018,3,03 57 64 68 69 15,3,57,64,68,69,15
10/13/2018,3,11 14 32 43 65 15,11,14,32,43,65,15
10/10/2018,3,08 23 27 42 60 07,8,23,27,42,60,7
10/6/2018,3,01 22 27 53 67 15,1,22,27,53,67,15
10/3/2018,3,41 53 59 63 66 03,41,53,59,63,66,3
9/29/2018,2,09 17 34 59 64 22,9,17,34,59,64,22
9/26/2018,5,01 02 07 30 50 08,1,2,7,30,50,8
9/22/2018,5,24 61 63 64 69 18,24,61,63,64,69,18
9/19/2018,3,04 39 48 50 51 11,4,39,48,50,51,11
9/15/2018,3,02 18 19 24 34 03,2,18,19,24,34,3
9/12/2018,2,06 28 48 63 64 24,6,28,48,63,64,24
9/8/2018,3,03 13 20 32 33 21,3,13,20,32,33,21
9/5/2018,2,06 15 50 59 60 13,6,15,50,59,60,13
9/1/2018,3,11 54 55 61 66 09,11,54,55,61,66,9
8/29/2018,2,25 41 53 57 67 12,25,41,53,57,67,12
8/25/2018,2,20 25 54 57 63 08,20,25,54,57,63,8
8/22/2018,2,01 07 45 47 69 13,1,7,45,47,69,13
8/18/2018,3,24 34 52 61 67 16,24,34,52,61,67,16
8/15/2018,2,12 15 28 47 48 16,12,15,28,47,48,16
8/11/2018,2,05 43 56 62 68 24,5,43,56,62,68,24
8/8/2018,2,10 21 30 43 63 17,10,21,30,43,63,17
8/4/2018,4,03 11 38 44 58 02,3,11,38,44,58,2
8/1/2018,2,05 22 32 38 58 26,5,22,32,38,58,26
7/28/2018,2,22 27 46 56 65 13,22,27,46,56,65,13
7/25/2018,2,02 18 41 44 64 26,2,18,41,44,64,26
7/21/2018,2,09 23 56 58 68 01,9,23,56,58,68,1
7/18/2018,2,01 10 27 28 36 12,1,10,27,28,36,12
7/14/2018,3,22 41 42 49 67 11,22,41,42,49,67,11
7/11/2018,4,19 21 27 46 47 07,19,21,27,46,47,7
7/7/2018,3,01 10 43 45 64 22,1,10,43,45,64,22
7/4/2018,2,04 07 15 41 44 10,4,7,15,41,44,10
6/30/2018,2,03 09 20 42 61 24,3,9,20,42,61,24
6/27/2018,2,07 28 37 62 63 15,7,28,37,62,63,15
6/23/2018,2,16 29 43 45 56 25,16,29,43,45,56,25
6/20/2018,2,04 14 23 27 56 13,4,14,23,27,56,13
6/16/2018,2,09 45 57 58 65 09,9,45,57,58,65,9
6/13/2018,2,13 20 38 45 55 01,13,20,38,45,55,1
6/9/2018,3,06 10 15 25 36 14,6,10,15,25,36,14
6/6/2018,3,23 28 41 53 56 14,23,28,41,53,56,14
6/2/2018,4,23 25 37 44 64 07,23,25,37,44,64,7
5/30/2018,2,17 23 26 46 68 20,17,23,26,46,68,20
5/26/2018,2,01 21 31 45 49 21,1,21,31,45,49,21
5/23/2018,4,20 54 56 61 64 07,20,54,56,61,64,7
5/19/2018,3,03 06 09 17 56 25,3,6,9,17,56,25
5/16/2018,2,17 19 21 22 51 19,17,19,21,22,51,19
5/12/2018,3,22 42 45 55 56 14,22,42,45,55,56,14
5/9/2018,2,11 16 38 50 69 19,11,16,38,50,69,19
5/5/2018,4,14 29 36 57 61 17,14,29,36,57,61,17
5/2/2018,2,05 14 31 40 50 06,5,14,31,40,50,6
4/28/2018,5,20 22 28 45 50 08,20,22,28,45,50,8
4/25/2018,3,17 18 39 56 64 12,17,18,39,56,64,12
4/21/2018,2,40 50 54 62 69 19,40,50,54,62,69,19
4/18/2018,2,09 10 12 17 23 09,9,10,12,17,23,9
4/14/2018,2,17 19 26 61 62 15,17,19,26,61,62,15
4/11/2018,3,16 18 27 55 67 18,16,18,27,55,67,18
4/7/2018,2,02 17 20 38 39 20,2,17,20,38,39,20
4/4/2018,4,08 24 42 54 64 24,8,24,42,54,64,24
3/31/2018,3,08 24 52 55 61 21,8,24,52,55,61,21
3/28/2018,2,06 08 26 52 53 21,6,8,26,52,53,21
3/24/2018,3,10 33 45 53 56 24,10,33,45,53,56,24
3/21/2018,2,03 04 18 29 61 25,3,4,18,29,61,25
3/17/2018,2,22 57 59 60 66 07,22,57,59,60,66,7
3/14/2018,3,06 12 24 41 68 09,6,12,24,41,68,9
3/10/2018,3,43 44 54 61 69 22,43,44,54,61,69,22
3/7/2018,2,06 13 19 36 51 18,6,13,19,36,51,18
3/3/2018,2,13 17 25 36 40 05,13,17,25,36,40,5
2/28/2018,5,12 30 59 65 69 16,12,30,59,65,69,16
2/24/2018,2,24 25 38 62 63 06,24,25,38,62,63,6
2/21/2018,3,07 15 31 34 36 08,7,15,31,34,36,8
2/17/2018,3,13 26 39 44 62 02,13,26,39,44,62,2
2/14/2018,2,37 39 44 46 69 26,37,39,44,46,69,26
2/10/2018,5,01 13 27 41 59 20,1,13,27,41,59,20
2/7/2018,2,23 34 35 40 47 10,23,34,35,40,47,10
2/3/2018,2,15 23 27 48 53 06,15,23,27,48,53,6
1/31/2018,10,04 07 14 46 59 22,4,7,14,46,59,22
1/27/2018,2,17 21 26 47 54 07,17,21,26,47,54,7
1/24/2018,3,05 09 11 33 64 21,5,9,11,33,64,21
1/20/2018,4,26 28 47 49 58 03,26,28,47,49,58,3
1/17/2018,2,03 33 37 51 57 21,3,33,37,51,57,21
1/13/2018,2,14 25 35 58 69 24,14,25,35,58,69,24
1/10/2018,5,07 24 33 49 50 04,7,24,33,49,50,4
1/6/2018,3,12 61 30 29 33 26,12,61,30,29,33,26
1/3/2018,3,02 18 37 39 42 12,2,18,37,39,42,12
12/30/2017,2,28 36 41 51 58 24,28,36,41,51,58,24
12/27/2017,3,03 09 16 56 60 03,3,9,16,56,60,3
12/23/2017,2,01 03 13 15 44 25,1,3,13,15,44,25
12/20/2017,2,01 20 61 64 69 20,1,20,61,64,69,20
12/16/2017,2,09 35 37 50 63 11,9,35,37,50,63,11
12/13/2017,3,02 24 28 51 58 07,2,24,28,51,58,7
12/9/2017,5,25 36 37 55 60 06,25,36,37,55,60,6
12/6/2017,2,19 20 50 55 62 09,19,20,50,55,62,9
12/2/2017,3,28 30 32 36 58 06,28,30,32,36,58,6
11/29/2017,3,24 26 28 59 63 16,24,26,28,59,63,16
11/25/2017,2,08 13 27 53 54 04,8,13,27,53,54,4
11/22/2017,2,35 37 46 51 61 13,35,37,46,51,61,13
11/18/2017,3,17 28 31 32 39 26,17,28,31,32,39,26
11/15/2017,2,23 32 44 48 50 25,23,32,44,48,50,25
11/11/2017,2,04 06 16 30 56 18,4,6,16,30,56,18
11/8/2017,2,12 14 20 21 34 22,12,14,20,21,34,22
11/4/2017,3,12 14 26 48 51 13,12,14,26,48,51,13
11/1/2017,2,03 06 19 26 44 01,3,6,19,26,44,1
10/28/2017,2,27 35 38 57 66 10,27,35,38,57,66,10
10/25/2017,3,18 22 29 54 57 08,18,22,29,54,57,8
10/21/2017,2,14 41 42 45 69 04,14,41,42,45,69,4
10/18/2017,2,30 49 54 66 69 08,30,49,54,66,69,8
10/14/2017,3,32 37 56 66 69 11,32,37,56,66,69,11
10/11/2017,2,01 03 13 19 69 23,1,3,13,19,69,23
10/7/2017,2,10 49 61 63 65 07,10,49,61,63,65,7
10/4/2017,2,22 23 62 63 66 24,22,23,62,63,66,24
9/30/2017,3,08 12 25 41 64 15,8,12,25,41,64,15
9/27/2017,3,08 10 21 23 25 22,8,10,21,23,25,22
9/23/2017,2,24 45 55 56 57 19,24,45,55,56,57,19
9/20/2017,3,39 48 53 67 68 26,39,48,53,67,68,26
9/16/2017,2,17 18 24 25 31 24,17,18,24,25,31,24
9/13/2017,3,17 24 35 57 63 19,17,24,35,57,63,19
9/9/2017,2,06 20 29 57 59 22,6,20,29,57,59,22
9/6/2017,3,08 14 32 58 67 17,8,14,32,58,67,17
9/2/2017,2,06 21 41 52 62 26,6,21,41,52,62,26
8/30/2017,2,19 28 43 67 69 07,19,28,43,67,69,7
8/26/2017,2,07 15 32 38 66 15,7,15,32,38,66,15
8/23/2017,4,06 07 16 23 26 04,6,7,16,23,26,4
8/19/2017,4,17 19 39 43 68 13,17,19,39,43,68,13
8/16/2017,3,09 15 43 60 64 04,9,15,43,60,64,4
8/12/2017,2,20 24 26 35 49 19,20,24,26,35,49,19
8/9/2017,4,12 30 36 47 62 09,12,30,36,47,62,9
8/5/2017,2,11 21 28 33 45 11,11,21,28,33,45,11
8/2/2017,3,01 16 54 63 69 18,1,16,54,63,69,18
7/29/2017,2,01 28 40 45 48 12,1,28,40,45,48,12
7/26/2017,2,07 19 21 42 69 12,7,19,21,42,69,12
7/22/2017,3,05 32 44 53 60 09,5,32,44,53,60,9
7/19/2017,5,50 51 59 61 63 04,50,51,59,61,63,4
7/15/2017,2,09 40 63 64 66 17,9,40,63,64,66,17
